Marca temporal,"Nombre de la institución:
colocar preferentemente en mayúsculas.","Dirección:
colocar preferentemente en mayúsculas.","Localidad:
colocar preferentemente en mayúsculas.","Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,"Nombre de la carrera:
colocar preferentemente en mayúsculas.","Localidad donde se dicta:
colocar preferentemente en mayúsculas.",Duración en años:,Duración en cuatrimestres:,Modalidad de dictado:,Area:,¿La carrera es arancelada?,"Link de acceso a más información sobre la carrera:
enlace específico o institucional.",¿Desea cargar otra carrera?,Sitio web institucional:
13/06/2026 16:53:28,FUNDACIÓN UNIVERSIDAD PATAGÓNICA,--,BAHÍA BLANCA,CICLO DE LIC. EN CIENCIAS DE DATOS,BAHÍA BLANCA,UN AÑO Y MEDIO,CUATRO,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SISTEMAS E INFORMÁTICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LIC. EN DISEÑO DE COMUNICACIÓN VISUAL,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",ARQUITECTURA Y DISEÑO,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN DISEÑO DE ESPACIOS INTERIORES,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",ARQUITECTURA Y DISEÑO,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LIC. DE DISEÑO E INNOVACIÓN EN LA MODA,BAHÍA BLANCA,UN AÑO,DOS,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",ARQUITECTURA Y DISEÑO,Si,INSTAGRAM.COM/FUNDACION.UP,Si,LICENCIATURA EN PSICOPEDAGOGÍA,BAHÍA BLANCA,CUATRO,DOCE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS HUMANAS Y SOCIALES,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN PSICOPEDAGOGÍA,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS HUMANAS Y SOCIALES,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN GESTIÓN DE LA EDUCACIÓN,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS HUMANAS Y SOCIALES,Si,INSTAGRAM.COM/FUNDACION.UP,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA DE MODALIDAD TÉCNICO PROFESIONAL,BAHÍA BLANCA,CUATRO,DOCE,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS HUMANAS Y SOCIALES,Si,INSTAGRAM.COM/FUNDACION.UP,Si,PROFESORADO UNIVERSITARIO,BAHÍA BLANCA,DOS,CUATRO,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS HUMANAS Y SOCIALES,Si,INSTAGRAM.COM/FUNDACION.UP,Si,TECNICATURA UNIVERSITARIA EN CIBERSEGURIDAD,BAHÍA BLANCA,DOS,CUATRO,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SISTEMAS E INFORMÁTICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,
13/06/2026 17:03:00,FUNDACIÓN UNIVERSIDAD PATAGÓNICA,--,BAHÍA BLANCA,TECNICATURA EN SEGURIDAD PUBLICA Y CIUDADANA,BAHÍA BLANCA,DOS,CUATRO,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SEGURIDAD PÚBLICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN CIBERSEGURIDAD,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SISTEMAS E INFORMÁTICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN SEGURIDAD PÚBLICA Y CIUDADANA,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SEGURIDAD PÚBLICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN HIGIENE Y SEGURIDAD LABORAL,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",SEGURIDAD PÚBLICA,Si,INSTAGRAM.COM/FUNDACION.UP,Si,LICENCIATURA EN ORTESIS Y PRÓTESIS,BAHÍA BLANCA,CUATRO,OCHO,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN ACOMPAÑAMIENTO TERAPÉUTICO,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,CICLO DE LICENCIATURA EN PSICOMOTRICIDAD,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,TECNICATURA UNIVERSITARIA EN ACOMPAÑAMIENTO TERAPÉUTICO EN SALUD MENTAL Y ADICCIONES,BAHÍA BLANCA,DOS AÑOS Y MEDIO,CINCO,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,TECNICATURA EN PODOLOGÍA,BAHÍA BLANCA,DOS AÑOS Y MEDIO,CINCO,Modalidad híbrida (combina presencialidad y a distancia sincrónica).,CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,MAESTRÍA EN KINESIOLOGÍA Y FISIOTERAPIA NEUROLÓGICA,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,
13/06/2026 17:05:52,FUNDACIÓN UNIVERSIDAD PATAGÓNICA,..,BAHÍA BLANCA,MAESTRÍA EN KINESIOLOGÍA Y FISIOTERAPIA CARDIORRESPIRATORIA,BAHÍA BLANCA,AÑO Y MEDIO,TRES,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,Si,MAESTRÍA EN POLÍTICA Y GESTIÓN DE LA DISCAPACIDAD E INCLUSIÓN SOCIAL,BAHÍA BLANCA,DOS AÑOS,CUATRO,"Modalidad a distancia sincrónica (separación de espacio, con clases en días y horarios establecidos).",CIENCIAS DE LA SALUD,Si,INSTAGRAM.COM/FUNDACION.UP,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2026 11:22:14,"DEPARTAMENTO DE BIOLOGÍA, BIOQUÍMICA Y FARMACIA - UNIVERSIDAD NACIONAL DEL SUR",SAN JUAN 670,BAHÍA BLANCA,BIOQUIMICA,BAHÍA BLANCA,5 AÑOS Y MEDIO,11,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://www.bbf.uns.edu.ar/,Si,LICENCIATURA EN CIENCIAS BIOLÓGICAS,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://www.bbf.uns.edu.ar/,Si,FARMACIA,BAHÍA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://www.bbf.uns.edu.ar/,Si,PROFESORADO EN CIENCIAS BIOLÓGICAS,BAHÍA BLANCA,4,8,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://www.bbf.uns.edu.ar/oferta-academica/profesorado-biologia/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bbf.uns.edu.ar/
16/06/2026 12:31:37,CENTRO DE FORMACIÓN PROFESIONAL 403,ARAUCANOS 930,BAHÍA BLANCA,VARIADO,ARAUCANOS 930 Y SUB-SEDES,DE 30 DÍAS A UN AÑO,UN MES A 12 MESES,Modalidad presencial (sin separación en tiempo y espacio).,TECNOLÓGICAS,No,https://www.facebook.com/profile.php?id=100089114880008&mibextid=ZbWKwL,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/2026 20:36:16,ESCUELA DE DANZAS ALBA LUTECIA,BROWN 128 2do PISO,BAHÍA BLANCA,DANZAS CONTEMPORÁNEAS (TECNICATURA INTÉRPRETE BAILARÍN EN DANZAS CONTEMPORÁNEAS / PROFESORADO EN DANZAS CONTEMPORÁNEAS),BAHÍA BLANCA,3 AÑOS FORMACIÓN BÁSICA (FOBA) / 2 AÑOS TECNICATURA / 4 AÑOS PROFESORADO ,ANUAL,Modalidad presencial (sin separación en tiempo y espacio).,ARTES,No,https://ecbblanca-bue.infd.edu.ar/sitio/,Si,EXPRESIÓN CORPORAL / PROFESORADO DE DANZA. ORIENTACIÓN EN EXPRESIÓN CORPORAL,BAHÍA BLANCA,1 AÑO FOBA / 4 AÑOS PROFESORADO,ANUAL,Modalidad presencial (sin separación en tiempo y espacio).,ARTES,No,https://ecbblanca-bue.infd.edu.ar/sitio/,Si,DANZAS FOLKLÓRICAS / TECNICATURA EN DANZAS FOLKLÓRICAS / PROFESORADO EN DANZA. ORIENTACIÓN EN DANZAS FOLKLÓRICAS ,BAHÍA BLANCA,1 AÑO DE FOBA / 2 AÑOS TECNICATURA / 4 AÑOS PROFESORADO,ANUAL,Modalidad presencial (sin separación en tiempo y espacio).,ARTES,No,https://ecbblanca-bue.infd.edu.ar/sitio/,Si,DANZAS CLÁSICAS / FORMACIÓN BÁSICA PARA LA TECNICATURA INTÉRPRETE  BAILARÍN EN DANZAS CLÁSICAS Y EL PROFESORADO EN DANZAS CLÁSICAS,BAHÍA BLANCA,7 AÑOS FOBA / 2 AÑOS TECNICATURA / 4 AÑOS PROFESORADO,ANUAL,Modalidad presencial (sin separación en tiempo y espacio).,ARTES,No,https://ecbblanca-bue.infd.edu.ar/sitio/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ecbblanca-bue.infd.edu.ar/sitio/
22/06/2026 13:35:59,DEPARTAMENTO DE GEOGRAFIA Y TURISMO,12 DE OCTUBRE 1098 - 4TO PISO,BAHIA BLANCA,LICENCIATURA EN GEOGRAFIA ,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://gota.uns.edu.ar/gota/,Si,PROFESORADO UNIVERTITARIO EN GEOGRAFIA,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://gota.uns.edu.ar/gota/,Si,"TECNICATURA EN CARTOGRAFIA, TELEDETECCION Y SISTEMAS DE INFORMACION GEOGRAFICA",BAHIA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://gota.uns.edu.ar/gota/,Si,LICENCIATURA EN OCEANOGRAFIA,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://gota.uns.edu.ar/gota/,Si,TECNICATURA UNIVERSITARIA EN OCEANOGRAFIA,BAHIA BLANCA,3,6,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS NATURALES,No,https://gota.uns.edu.ar/gota/,Si,LICENCIATURA EN TURISMO,BAHIA BLANCA,4 Y MEDIO,9,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://gota.uns.edu.ar/gota/,Si,ARQUITECTURA,BAHIA BLANCA,5,10,Modalidad presencial (sin separación en tiempo y espacio).,ARQUITECTURA Y DISEÑO,No,https://gota.uns.edu.ar/gota/,"No, finalizar y enviar",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://gota.uns.edu.ar/
23/06/2026 8:52:36,UNIVERSIDAD EMPRESARIAL SIGLO 21,ALVARADO 328,BAHIA BLANCA,ABOGACIA,BAHIA BLANCA,4 AÑOS Y MEDIO,9,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/abogacia,Si,ACTUARIO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/actuario,Si,CONTADOR PUBLICO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS EXACTAS,Si,https://21.edu.ar/carreras-y-programas/contador-publico,Si,licenciatura en administracion,bahia blanca,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-administraci%C3%B3n,Si,licenciatura en administracion agraria,bahia blanca,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-administracion-agraria,Si,licenciatura en ambiente y energias renovables,bahia blanca,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-ambiente-y-energias-renovables,Si,LICENCIATURA EN BIOINFORMATICA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-bioinformatica,Si,LICENCIATURA EN CIENCIA DE DATOS,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS EXACTAS,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-ciencia-de-datos,Si,LIC. EN CIENCIA POLITICA Y DE GOBIERNO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-ciencia-politica-y-gobierno,Si,LICENCIATURA EN COMERCIALIZACOIN,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-comercializacion-marketing,Si,https://21.edu.ar/
23/06/2026 9:06:01,UNIVERSIDAD EMPRESARIAL SIGLO 21,ALVARADO 328,BAHIA BLANCA,LIC. EN CRIMINOLOGIA Y SEGURIDAD,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SEGURIDAD PÚBLICA,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-criminologia-y-seguridad,Si,LIC. EN DISEÑO Y ANIMACION DIGITAL,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",ARQUITECTURA Y DISEÑO,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-diseno-y-animacion-digital,Si,LIC. EN EDUCACION Y  NUEVAS TECNOLOGIAS,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-educacion-y-nuevas-tecnologias,Si,LIC. EN FINANZAS,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-finanzas,Si,LIC. EN GESITON AMBIENTAL,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-gestion-ambiental,Si,LIC. EN GESTION DE LOS RECURSOS HUMANOS,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-gestion-de-recursos-humanos,Si,LIC. EN GESTION DEPORTIVA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS DE LA SALUD,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-gestion-deportiva,Si,LIC. EN GESTION TURISTICA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-gestion-turistica,Si,LIC. EN HIDROCARBUROS Y GEOCIENCIA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-hidrocarburos-y-geociencias,Si,LIC. EN HIGIENE SEGURIDAD Y MEDIO AMBIENTE DEL TRABAJO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS AMBIENTALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-higiene-seguridad-y-medio-ambiente-del-trabajo,Si,https://21.edu.ar/
23/06/2026 9:45:04,UNIVERSIDAD EMPRESARIAL SIGLO 21,ALVARADO 328,BAHIA BLANCA,LIC. EN INTELIGENCIA ARTIFICIAL Y ROBOTICA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-inteligencia-artificial-y-robotica,Si,LIC. EN INTELIGENCIA DE NOGOCIOS DIGITALES,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-inteligencia-de-negocios-digitales,Si,LIC. EN LOGISTICA GLOBAL,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",TECNOLÓGICAS,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-logistica-global,Si,LIC. EN MATEMATICAS,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS EXACTAS,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-matematica,Si,LIC. EN PERIODISMO,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-periodismo,Si,LIC. EN PUBLICIDAD,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-publicidad,Si,LIC. EN RELACIONES INTERNACIONALES,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-relaciones-internacionales,Si,LIC. EN RELACIONES PUBLICAS E INSTITUCIONALES,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",CIENCIAS HUMANAS Y SOCIALES,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-relaciones-publicas-e-institucionales,Si,LIC. EN SEGURIDAD INFORMATICA,BAHIA BLANCA,4,8,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-seguridad-informatica,Si,LIC. EN INFORMATICA,BAHIA BLANCA,5,10,"Modalidad a distancia asincrónica (separación en tiempo y espacio, sin necesidad de conexión en horarios fijos).",SISTEMAS E INFORMÁTICA,Si,https://21.edu.ar/carreras-y-programas/licenciatura-en-informatica,Si,https://21.edu.ar/
23/06/2026 10:12:59,INSTITUTO SUPERIOR JUAN 23,VIEYTES 286,BAHÍA BLANCA,PROFESORADO DE EDUCACIÓN SECUNDARIA EN PSICOLOGÍA. ,BAHÍA BLANCA,4 (CUATRO),8 (OCHO). ,Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.juan23.edu.ar/carreras/profesorado-en-psicologia/,Si,PROFESORADO DE EDUCACIÓN PRIMARIA. ,BAHÍA BLANCA,4 (CUATRO),8 (OCHO),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.juan23.edu.ar/carreras/profesorado-en-educacion-primaria/,Si,-PROFESORADO DE INGLÉS. ,BAHÍA BLANCA,4 (CUATRO),8 (OCHO),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.juan23.edu.ar/carreras/profesorado-de-ingles/,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN MATEMÁTICA ,BAHÍA BLANCA,4 (CUATRO),8 (OCHO),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://www.juan23.edu.ar/carreras/profesorado-de-matematica/,Si,PROFESORADO DE EDUCACIÓN SECUNDARIA EN FILOSOFÍA. ,BAHÍA BLANCA,4 (CUATRO),8 (OCHO),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,No,https://www.juan23.edu.ar/carreras/profesorado-de-filosofia/  ,Si,TECNICATURA SUPERIOR EN PSICOPEDAGOGÍA,BAHÍA BLANCA,4 (CUATRO),8 (OCHO),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS HUMANAS Y SOCIALES,Si,https://www.juan23.edu.ar/carreras/psicopedagogia/,Si,TECNICATURA SUPERIOR EN SUBASTAS Y CORRETAJE INMOBILIARIO,BAHÍA BLANCA,3 (TRES),6 (SEIS),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,No,https://www.juan23.edu.ar/carreras/tecnicatura-superior-en-subastas-y-corretaje-inmobiliario/  ,Si,TECNICATURA SUPERIOR EN AUTOMATIZACIÓN Y CONTROL. ,BAHÍA BLANCA,3 (TRES),6 (SESIS),Modalidad presencial (sin separación en tiempo y espacio).,TECNOLÓGICAS,No,: https://www.juan23.edu.ar/carreras/tecnicatura-superior-en-automatizacion-y-control/,Si,TECNICATURA SUPERIOR EN ADMINISTRACIÓN FINANCIERA. ,BAHÍA BLANCA,3 (TRES),6 (SEIS),Modalidad presencial (sin separación en tiempo y espacio).,CIENCIAS ECONÓMICAS Y ADMINISTRACIÓN,Si,: https://www.juan23.edu.ar/carreras/tecnicatura-superior-en-administracion-financiera/,Si, TECNICATURA SUPERIOR EN ANÁLISIS DE SISTEMAS. ,BAHÍA BLANCA,3 (TRES),6 (SEIS),Modalidad presencial (sin separación en tiempo y espacio).,SISTEMAS E INFORMÁTICA,Si,: https://www.juan23.edu.ar/carreras/tecnicatura-superior-en-analisis-de-sistemas/,Si,www.juan23.edu.ar
